Estacion;Fecha inicial;PM2.5
ZIPAQUIRÁ - EFZ;2024-01-30 15:00;17.05
ZIPAQUIRÁ - EFZ;2024-01-30 14:00;23.77
ZIPAQUIRÁ - EFZ;2024-01-10 17:00;1.05
ZIPAQUIRÁ - EFZ;2024-01-10 16:00;2.0
ZIPAQUIRÁ - EFZ;2024-01-10 15:00;2.14
ZIPAQUIRÁ - EFZ;2024-01-10 14:00;5.28
ZIPAQUIRÁ - EFZ;2024-01-10 13:00;11.03
ZIPAQUIRÁ - EFZ;2024-01-10 12:00;12.37
ZIPAQUIRÁ - EFZ;2024-01-10 11:00;20.64
ZIPAQUIRÁ - EFZ;2024-01-10 10:00;33.59
ZIPAQUIRÁ - EFZ;2024-01-10 09:00;25.55
ZIPAQUIRÁ - EFZ;2024-01-10 08:00;36.59
ZIPAQUIRÁ - EFZ;2024-01-10 07:00;28.32
ZIPAQUIRÁ - EFZ;2024-01-10 06:00;34.36
ZIPAQUIRÁ - EFZ;2024-01-10 05:00;20.95
ZIPAQUIRÁ - EFZ;2024-01-10 04:00;19.77
ZIPAQUIRÁ - EFZ;2024-01-10 03:00;14.72
ZIPAQUIRÁ - EFZ;2024-01-10 02:00;9.41
ZIPAQUIRÁ - EFZ;2024-01-10 01:00;17.86
ZIPAQUIRÁ - EFZ;2024-01-10 00:00;14.91
ZIPAQUIRÁ - EFZ;2024-01-09 23:00;13.18
ZIPAQUIRÁ - EFZ;2024-01-09 22:00;16.86
ZIPAQUIRÁ - EFZ;2024-01-09 21:00;14.14
ZIPAQUIRÁ - EFZ;2024-01-09 20:00;16.63
ZIPAQUIRÁ - EFZ;2024-01-09 19:00;9.05
ZIPAQUIRÁ - EFZ;2024-01-09 18:00;9.95
ZIPAQUIRÁ - EFZ;2024-01-09 17:00;8.86
ZIPAQUIRÁ - EFZ;2024-01-09 16:00;6.09
ZIPAQUIRÁ - EFZ;2024-01-09 15:00;8.05
ZIPAQUIRÁ - EFZ;2024-01-09 14:00;9.28
ZIPAQUIRÁ - EFZ;2024-01-09 13:00;15.0
ZIPAQUIRÁ - EFZ;2024-01-09 12:00;16.2
ZIPAQUIRÁ - EFZ;2024-01-09 11:00;41.23
ZIPAQUIRÁ - EFZ;2024-01-09 10:00;45.72
ZIPAQUIRÁ - EFZ;2024-01-09 09:00;39.95
ZIPAQUIRÁ - EFZ;2024-01-09 08:00;37.94
ZIPAQUIRÁ - EFZ;2024-01-09 07:00;16.55
ZIPAQUIRÁ - EFZ;2024-01-09 06:00;27.77
ZIPAQUIRÁ - EFZ;2024-01-09 05:00;23.37
ZIPAQUIRÁ - EFZ;2024-01-09 04:00;30.36
ZIPAQUIRÁ - EFZ;2024-01-09 03:00;16.77
ZIPAQUIRÁ - EFZ;2024-01-09 02:00;12.05
ZIPAQUIRÁ - EFZ;2024-01-09 01:00;13.0
ZIPAQUIRÁ - EFZ;2024-01-09 00:00;13.09
ZIPAQUIRÁ - EFZ;2024-01-08 23:00;15.09
ZIPAQUIRÁ - EFZ;2024-01-08 22:00;16.59
ZIPAQUIRÁ - EFZ;2024-01-08 21:00;8.18
ZIPAQUIRÁ - EFZ;2024-01-08 20:00;12.23
ZIPAQUIRÁ - EFZ;2024-01-08 19:00;16.49
ZIPAQUIRÁ - EFZ;2024-01-08 18:00;5.95
ZIPAQUIRÁ - EFZ;2024-01-08 17:00;5.0
ZIPAQUIRÁ - EFZ;2024-01-08 16:00;5.0
ZIPAQUIRÁ - EFZ;2024-01-08 15:00;5.09
ZIPAQUIRÁ - EFZ;2024-01-08 14:00;7.23
ZIPAQUIRÁ - EFZ;2024-01-08 13:00;11.97
ZIPAQUIRÁ - EFZ;2024-01-08 12:00;11.23
ZIPAQUIRÁ - EFZ;2024-01-08 11:00;16.32
ZIPAQUIRÁ - EFZ;2024-01-08 10:00;22.86
ZIPAQUIRÁ - EFZ;2024-01-08 09:00;20.28
ZIPAQUIRÁ - EFZ;2024-01-08 08:00;25.54
ZIPAQUIRÁ - EFZ;2024-01-08 07:00;15.86
ZIPAQUIRÁ - EFZ;2024-01-08 06:00;12.91
ZIPAQUIRÁ - EFZ;2024-01-08 05:00;11.04
ZIPAQUIRÁ - EFZ;2024-01-08 04:00;11.96
ZIPAQUIRÁ - EFZ;2024-01-08 03:00;11.12
ZIPAQUIRÁ - EFZ;2024-01-08 02:00;14.04
ZIPAQUIRÁ - EFZ;2024-01-08 01:00;14.96
ZIPAQUIRÁ - EFZ;2024-01-08 00:00;14.07
ZIPAQUIRÁ - EFZ;2024-01-07 23:00;16.14
ZIPAQUIRÁ - EFZ;2024-01-07 22:00;19.82
ZIPAQUIRÁ - EFZ;2024-01-07 21:00;14.82
ZIPAQUIRÁ - EFZ;2024-01-07 20:00;10.25
ZIPAQUIRÁ - EFZ;2024-01-07 19:00;16.58
ZIPAQUIRÁ - EFZ;2024-01-07 18:00;4.89
ZIPAQUIRÁ - EFZ;2024-01-07 17:00;2.04
ZIPAQUIRÁ - EFZ;2024-01-07 16:00;3.08
ZIPAQUIRÁ - EFZ;2024-01-07 15:00;5.08
ZIPAQUIRÁ - EFZ;2024-01-07 14:00;7.04
ZIPAQUIRÁ - EFZ;2024-01-07 13:00;8.07
ZIPAQUIRÁ - EFZ;2024-01-07 12:00;11.89
